"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2025","3,392.10","3,391.81","3,404.95","3,386.81","22.53K","0.01%"
"06/18/2025","3,391.90","3,409.00","3,419.00","3,380.10","4.09K","-0.44%"
"06/17/2025","3,406.90","3,404.20","3,422.70","3,384.40","209.08K","-0.30%"
"06/16/2025","3,417.30","3,473.00","3,476.30","3,400.90","192.51K","-1.35%"
"06/15/2025","3,464.22","3,473.45","3,473.45","3,449.00","17.33K","0.33%"
"06/13/2025","3,452.80","3,406.70","3,468.00","3,399.60","270.63K","1.48%"
"06/12/2025","3,402.40","3,377.50","3,419.80","3,358.50","230.17K","1.76%"
"06/11/2025","3,343.70","3,344.30","3,382.30","3,335.40","201.53K","0.01%"
"06/10/2025","3,343.40","3,346.30","3,370.40","3,321.30","158.90K","-0.34%"
"06/09/2025","3,354.90","3,333.40","3,359.00","3,313.10","142.01K","0.25%"
"06/06/2025","3,346.60","3,377.40","3,398.30","3,328.80","185.37K","-0.84%"
"06/05/2025","3,375.10","3,398.00","3,427.70","3,362.30","224.86K","-0.71%"
"06/04/2025","3,399.20","3,377.80","3,409.70","3,366.90","167.22K","0.65%"
"06/03/2025","3,377.10","3,406.50","3,417.80","3,357.20","168.22K","-0.59%"
"06/02/2025","3,397.20","3,323.00","3,408.10","3,319.40","181.00K","2.47%"
"05/30/2025","3,315.40","3,343.20","3,347.00","3,294.80","184.77K","-0.85%"
"05/29/2025","3,343.90","3,311.80","3,356.30","3,269.10","227.94K","1.08%"
"05/28/2025","3,308.30","3,317.30","3,337.50","3,287.90","2.76K","-0.16%"
"05/27/2025","3,313.70","3,369.60","3,369.60","3,297.90","4.19K","-1.80%"
"05/26/2025","3,374.47","3,370.17","3,384.00","3,352.50","29.79K","0.12%"
"05/25/2025","3,370.27","3,384.00","3,384.12","3,367.94","65.79K","-0.71%"
"05/23/2025","3,394.50","3,323.20","3,395.30","3,314.40","71.08K","2.13%"
"05/22/2025","3,323.60","3,346.50","3,375.30","3,306.90","52.14K","-0.55%"
"05/21/2025","3,341.90","3,321.20","3,355.50","3,315.30","50.60K","0.88%"
"05/20/2025","3,312.60","3,260.70","3,326.40","3,235.30","30.44K","1.57%"
"05/19/2025","3,261.40","3,246.00","3,280.00","3,236.20","21.05K","2.33%"
