"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","3,385.15","3,322.55","3,473.45","3,313.25","2.38M","2.10%"
"05/01/2025","3,315.40","3,312.30","3,460.50","3,139.60","434.65K","-0.52%"
"04/01/2025","3,332.70","3,157.30","3,509.90","2,970.40","5.01M","5.79%"
"03/01/2025","3,150.30","2,896.10","3,162.00","2,883.20","452.19K","10.07%"
"02/01/2025","2,862.20","2,846.50","2,974.00","2,802.20","3.12M","0.96%"
"01/01/2025","2,835.00","2,652.00","2,862.90","2,638.90","386.65K","6.85%"
"12/01/2024","2,653.30","2,673.80","2,761.30","2,596.70","2.92M","-1.03%"
"11/01/2024","2,681.00","2,766.90","2,782.80","2,560.80","360.31K","-2.92%"
"10/01/2024","2,761.60","2,656.10","2,813.10","2,618.80","3.63M","4.29%"
"09/01/2024","2,647.90","2,509.00","2,684.00","2,479.80","166.00K","5.24%"
"08/01/2024","2,516.00","2,469.60","2,546.80","2,382.80","186.00K","2.72%"
"07/01/2024","2,449.30","2,355.20","2,500.50","2,344.40","46.24K","4.19%"
"06/01/2024","2,350.90","2,348.00","2,406.70","2,304.20","3.06M","0.73%"
"05/01/2024","2,333.90","2,298.20","2,454.20","2,285.20","4.54M","1.35%"
"04/01/2024","2,302.90","2,243.50","2,436.60","2,238.50","441.98K","3.40%"
"03/01/2024","2,227.10","2,052.80","2,243.50","2,047.00","4.74M","8.39%"
"02/01/2024","2,054.70","2,047.70","2,072.90","1,987.20","384.71K","-0.13%"
"01/01/2024","2,057.40","2,072.70","2,088.10","2,004.00","3.84M","-0.70%"
"12/01/2023","2,071.80","2,049.00","2,140.70","1,979.00","251.34K","1.65%"
"11/01/2023","2,038.10","1,993.30","2,052.10","1,935.60","3.67M","2.20%"
"10/01/2023","1,994.30","1,864.40","2,019.70","1,823.50","4.66M","5.78%"
"09/01/2023","1,885.40","1,966.40","1,980.20","1,881.50","3.09M","-4.09%"
"08/01/2023","1,965.90","2,004.20","2,004.40","1,913.60","3.17M","-2.16%"
"07/01/2023","2,009.20","1,945.40","2,010.90","1,927.60","246.57K","4.14%"
