"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2025","3,386.27","3,473.45","3,473.45","3,380.52","447.55K","-1.93%"
"06/08/2025","3,452.80","3,333.40","3,468.00","3,313.10","732.60K","3.17%"
"06/01/2025","3,346.60","3,323.00","3,427.70","3,319.40","926.66K","0.94%"
"05/25/2025","3,315.40","3,369.60","3,369.60","3,269.10","419.66K","-1.89%"
"05/18/2025","3,379.30","3,228.10","3,379.80","3,220.70","5.72K","5.60%"
"05/11/2025","3,200.20","3,295.00","3,305.60","3,139.60","7.01K","-4.68%"
"05/04/2025","3,357.30","3,261.20","3,460.50","3,258.30","3.81K","2.62%"
"04/27/2025","3,271.70","3,347.40","3,385.40","3,238.00","40.51K","-0.36%"
"04/20/2025","3,283.50","3,330.00","3,492.90","3,257.40","12.25K","-0.90%"
"04/13/2025","3,313.30","3,231.60","3,356.60","3,196.40","5.53K","2.58%"
"04/06/2025","3,230.00","3,004.00","3,246.70","2,959.60","11.30K","6.41%"
"03/30/2025","3,035.40","3,118.80","3,201.60","3,032.70","1.37M","-2.53%"
"03/23/2025","3,114.30","3,040.80","3,124.40","3,022.10","217.75K","2.63%"
